application_id,age,gender,marital_status,education,employment_type,annual_income,credit_score,existing_loans_count,loan_amount,loan_term_months,loan_purpose,region,application_date,approval_status,default_flag
LN101425,57,Male,Single,Not Graduate,Self-Employed,63400.0,631.0,1,22500.0,12,Debt Consolidation,South,2023-08-01,Approved,0
LN100879,49,Female,Single,Graduate,Salaried,45000.0,675.0,2,25600.0,60,Home Improvement,South,2023-11-27,Approved,1
LN100305,27,Female,Married,Graduate,Salaried,79700.0,666.0,1,34000.0,60,Personal,West,2024-10-31,Approved,0
LN101235,36,Female,Divorced,Graduate,Self-Employed,24500.0,612.0,1,9400.0,24,Home Improvement,East,2023-06-02,Approved,0
LN101799,44,Female,Married,Graduate,Self-Employed,61000.0,723.0,4,31200.0,84,Business,North,2024-11-30,Approved,0
LN100181,27,Female,Single,Not Graduate,Salaried,37000.0,522.0,3,5700.0,48,Business,South,2023-10-18,Rejected,
LN100412,33,Male,Widowed,Not Graduate,Salaried,56000.0,725.0,2,31500.0,48,Medical,North,2024-10-19,Rejected,
LN100746,44,Male,Widowed,Not Graduate,Salaried,31300.0,768.0,4,6800.0,36,Personal,Central,2023-03-09,Approved,0
LN101303,61,Female,Divorced,Not Graduate,Business Owner,91900.0,651.0,4,54600.0,60,Education,West,2023-08-30,Approved,0
LN100841,50,Male,Married,Graduate,Business Owner,30700.0,713.0,1,8800.0,48,Education,East,2024-11-21,Approved,0
LN101698,37,Female,Single,Graduate,Business Owner,48600.0,776.0,1,11800.0,48,Debt Consolidation,North,2024-10-07,Approved,0
LN100842,61,Male,Married,Graduate,Salaried,94900.0,678.0,4,60800.0,24,Business,North,2024-01-20,Approved,0
LN102013,62,Male,Single,Graduate,Salaried,74300.0,655.0,3,21700.0,36,Debt Consolidation,East,2024-12-17,Approved,0
LN103008,49,Male,Divorced,Graduate,Salaried,99100.0,573.0,3,63800.0,24,Home Improvement,West,2023-05-30,Rejected,
LN101888,23,Male,Married,Graduate,Business Owner,85500.0,584.0,2,54200.0,60,Business,South,2024-01-07,Rejected,
LN100131,45,Male,Married,Post Graduate,Salaried,63300.0,626.0,4,33500.0,24,Education,East,2024-06-10,Approved,0
LN101541,31,Male,Divorced,Post Graduate,Salaried,70600.0,757.0,1,45200.0,48,Auto,North,2023-08-29,Approved,0
LN101589,22,Male,Single,Graduate,Salaried,33900.0,690.0,1,7300.0,24,Business,West,2023-12-29,Rejected,
LN100178,61,Male,Married,Not Graduate,Self-Employed,36600.0,782.0,4,8600.0,84,Business,North,2023-04-04,Approved,0
LN101183,41,Male,Single,Post Graduate,Salaried,111100.0,697.0,3,72000.0,36,Personal,North,2024-10-27,Approved,0
LN100079,51,Female,Single,Post Graduate,Salaried,60900.0,850.0,3,29900.0,48,Business,West,2023-09-12,Approved,0
LN103110,45,Female,Widowed,Graduate,Salaried,12000.0,645.0,0,7700.0,12,Home Improvement,South,2024-02-02,Rejected,
LN102159,36,Male,Divorced,Not Graduate,Salaried,90700.0,750.0,3,44600.0,24,Debt Consolidation,South,2023-01-12,Approved,0
LN102843,42,Female,Married,Post Graduate,Business Owner,83000.0,627.0,0,27300.0,84,Medical,North,2024-08-07,Rejected,
LN102118,45,Female,Single,Graduate,Business Owner,82600.0,581.0,3,35000.0,36,Auto,South,2023-02-10,Rejected,
LN102473,30,Male,Single,Post Graduate,Salaried,522800.0,789.0,0,218600.0,48,Business,East,2024-07-08,Approved,0
LN102884,36,Male,Single,Post Graduate,Business Owner,107500.0,663.0,4,17400.0,48,Personal,North,2024-05-06,Rejected,
LN102679,37,Female,Divorced,Graduate,Salaried,12000.0,702.0,3,6300.0,48,Auto,West,2024-10-08,Rejected,
LN102969,49,Female,Married,Graduate,Business Owner,94100.0,824.0,3,25200.0,36,Home Improvement,North,2023-07-16,Approved,0
LN102972,47,Male,Single,Post Graduate,Salaried,56400.0,576.0,1,12700.0,60,Medical,Central,2024-12-13,Rejected,
LN102706,52,Female,Married,Post Graduate,Salaried,88500.0,733.0,1,47800.0,24,Auto,East,2024-03-19,Rejected,
LN100582,25,Female,Married,Not Graduate,Self-Employed,61600.0,561.0,4,19400.0,36,Personal,West,2024-02-18,Rejected,
LN102099,32,Female,Divorced,Graduate,Self-Employed,82600.0,539.0,0,42300.0,24,Medical,North,2023-01-05,Rejected,
LN100584,39,Female,Single,Post Graduate,Salaried,91000.0,774.0,2,45400.0,48,Business,East,2024-03-07,Approved,0
LN102710,23,Female,Married,Post Graduate,Self-Employed,89200.0,565.0,4,55500.0,36,Debt Consolidation,South,2024-01-14,Rejected,
LN102536,35,Female,Married,Not Graduate,Self-Employed,56500.0,633.0,1,29800.0,36,Personal,East,2023-11-01,Rejected,
LN100740,57,Male,Widowed,Graduate,Self-Employed,61700.0,664.0,4,31000.0,48,Medical,Central,2023-11-26,Rejected,
LN101619,65,Male,Married,Not Graduate,Self-Employed,28400.0,547.0,3,13300.0,24,Debt Consolidation,West,2024-09-26,Rejected,
LN102296,28,Male,Married,Not Graduate,Salaried,39800.0,496.0,0,6500.0,36,Home Improvement,North,2023-11-26,Rejected,
LN100427,57,Male,Single,Graduate,Salaried,92600.0,687.0,0,48400.0,24,Business,East,2023-10-06,Rejected,
LN100971,39,Female,Divorced,Graduate,Business Owner,77500.0,551.0,0,44300.0,24,Education,North,2024-07-25,Rejected,
LN100658,24,Male,Single,Not Graduate,Salaried,42700.0,676.0,2,25000.0,24,Debt Consolidation,North,2024-07-24,Rejected,
LN101430,42,Female,Divorced,Graduate,Salaried,79900.0,757.0,3,32200.0,12,Education,Central,2024-03-22,Approved,0
LN101627,47,Male,Married,Graduate,Salaried,71300.0,657.0,0,25800.0,24,Education,West,2024-10-30,Rejected,
LN100087,35,Female,Married,Graduate,Salaried,80000.0,680.0,2,49500.0,36,Home Improvement,West,2024-10-22,Rejected,
LN101778,34,Female,Widowed,Not Graduate,Salaried,59800.0,687.0,2,12800.0,48,Medical,West,2024-02-20,Rejected,
LN101599,52,Female,Married,Not Graduate,Salaried,75000.0,516.0,2,17200.0,84,Personal,Central,2023-07-15,Rejected,
LN102571,62,Female,Divorced,Not Graduate,Salaried,37900.0,605.0,4,13500.0,48,Home Improvement,East,2024-06-03,Rejected,
LN100750,64,Male,Single,Not Graduate,Business Owner,65600.0,584.0,2,32500.0,36,Personal,North,2023-03-30,Rejected,
LN101697,27,Female,Married,Graduate,Self-Employed,81200.0,730.0,2,45400.0,48,Business,Central,2023-08-08,Approved,0
LN103177,34,Male,Widowed,Not Graduate,Salaried,60300.0,817.0,0,17300.0,12,Home Improvement,South,2023-09-20,Approved,0
LN100669,26,Male,Single,Post Graduate,Salaried,91900.0,639.0,0,57500.0,48,Personal,West,2023-06-08,Rejected,
LN100095,33,Female,Married,Post Graduate,Business Owner,12000.0,643.0,0,4800.0,84,Debt Consolidation,North,2024-10-29,Rejected,
LN101320,26,Female,Single,Not Graduate,Salaried,44600.0,535.0,4,9200.0,36,Auto,South,2023-03-16,Rejected,
LN101420,63,Male,Married,Graduate,Business Owner,63300.0,468.0,4,25200.0,12,Auto,North,2024-09-10,Rejected,
LN102714,43,Male,Married,Not Graduate,Salaried,68900.0,850.0,3,32100.0,36,Debt Consolidation,North,2023-01-20,Approved,0
LN100637,34,Male,Single,Graduate,Salaried,36100.0,580.0,3,18500.0,48,Auto,South,2023-09-09,Rejected,
LN101918,41,Female,Married,Graduate,Self-Employed,50700.0,618.0,0,27200.0,12,Personal,North,2024-06-30,Rejected,
LN102311,24,Female,Married,Graduate,Salaried,113600.0,656.0,3,37900.0,36,Business,West,2023-02-01,Rejected,
LN102576,33,Female,Single,Not Graduate,Self-Employed,47800.0,664.0,0,19700.0,48,Medical,East,2024-01-11,Rejected,
LN100186,28,Male,Married,Graduate,Salaried,48900.0,649.0,2,16400.0,36,Auto,South,2024-01-26,Rejected,
LN101765,63,Male,Married,Not Graduate,Business Owner,55000.0,563.0,0,11400.0,48,Debt Consolidation,Central,2023-06-17,Rejected,
LN101382,36,Male,Married,Graduate,Salaried,78800.0,603.0,0,30100.0,48,Business,East,2023-10-31,Rejected,
LN100527,27,Male,Divorced,Not Graduate,Self-Employed,47100.0,627.0,1,16800.0,36,Auto,South,2024-04-25,Rejected,
LN102837,61,Male,Divorced,Not Graduate,Salaried,75800.0,706.0,1,23200.0,24,Business,West,2024-01-22,Approved,0
LN103023,29,Male,Single,Not Graduate,Salaried,96200.0,660.0,1,25600.0,60,Business,South,2024-04-16,Rejected,
LN101240,43,Female,Married,Graduate,Business Owner,67600.0,714.0,1,35900.0,84,Home Improvement,East,2023-11-04,Approved,0
LN100362,31,Female,Single,Graduate,Self-Employed,87800.0,770.0,2,31000.0,24,Auto,Central,2023-12-07,Approved,0
LN101847,45,Female,Single,Graduate,Salaried,68200.0,664.0,3,41500.0,36,Debt Consolidation,East,2024-02-23,Rejected,
LN101946,28,Female,Married,Post Graduate,Salaried,30300.0,688.0,1,6700.0,36,Education,West,2024-07-01,Rejected,
LN102017,53,Male,Single,Not Graduate,Self-Employed,57100.0,655.0,0,26900.0,12,Auto,South,2023-02-13,Approved,1
LN100561,22,Male,Single,Graduate,Self-Employed,76200.0,655.0,3,26300.0,36,Education,South,2023-11-18,Rejected,
LN102421,55,Male,Single,Graduate,Self-Employed,82200.0,752.0,4,31900.0,24,Business,East,2024-09-21,Approved,0
LN101084,30,Male,Married,Graduate,Salaried,59500.0,698.0,1,28500.0,24,Debt Consolidation,West,2024-07-17,Rejected,
LN101629,26,Female,Single,Not Graduate,Salaried,27900.0,712.0,2,14000.0,48,Medical,North,2023-08-17,Approved,0
LN101854,25,Female,Married,Graduate,Salaried,60300.0,715.0,1,31000.0,48,Home Improvement,North,2024-03-01,Approved,0
LN102403,45,Male,Widowed,Not Graduate,Salaried,42500.0,703.0,3,15800.0,12,Debt Consolidation,North,2023-07-29,Approved,0
LN100433,26,Female,Married,Not Graduate,Salaried,73000.0,584.0,1,16900.0,84,Debt Consolidation,West,2023-10-03,Rejected,
LN100414,21,Male,Married,Graduate,Business Owner,100800.0,603.0,1,23200.0,36,Education,South,2023-09-30,Rejected,
LN102092,57,Male,Single,Graduate,Self-Employed,12000.0,553.0,0,3000.0,36,Medical,East,2024-01-27,Rejected,
LN102506,41,Female,Single,Not Graduate,Salaried,57400.0,686.0,3,32900.0,84,Auto,North,2023-09-25,Approved,0
LN101325,29,Female,Single,Not Graduate,Salaried,77500.0,490.0,1,34100.0,36,Debt Consolidation,South,2023-02-05,Rejected,
LN100739,61,Male,Single,Not Graduate,Business Owner,82300.0,626.0,2,46400.0,24,Auto,West,2024-12-15,Rejected,
LN102815,25,Female,Married,Graduate,Salaried,51000.0,702.0,1,26300.0,60,Debt Consolidation,East,2023-11-25,Approved,0
LN100736,53,Male,Single,Not Graduate,Business Owner,90000.0,675.0,1,50700.0,60,Personal,North,2023-03-27,Approved,0
LN101058,40,Male,Married,Graduate,Salaried,90600.0,678.0,3,35000.0,84,Debt Consolidation,South,2023-11-01,Rejected,
LN102661,55,Male,Married,Not Graduate,Business Owner,90400.0,672.0,0,18600.0,24,Business,Central,2024-07-17,Rejected,
LN101264,31,Male,Single,Graduate,Business Owner,64500.0,639.0,0,41400.0,60,Education,North,2023-10-06,Rejected,
LN102642,30,Female,Married,Not Graduate,Business Owner,104000.0,692.0,4,25900.0,60,Business,West,2024-03-19,Approved,0
LN100742,49,Female,Married,Graduate,Salaried,49200.0,779.0,2,25600.0,36,Education,South,2024-03-14,Approved,0
LN100727,24,Male,Single,Graduate,Business Owner,26700.0,564.0,1,5500.0,48,Auto,North,2024-10-14,Rejected,
LN102839,64,Male,Single,Not Graduate,Salaried,32100.0,725.0,0,14700.0,12,Debt Consolidation,East,2024-06-13,Rejected,
LN100676,47,Female,Single,Not Graduate,Business Owner,87500.0,663.0,2,50900.0,48,Education,West,2023-09-16,Rejected,
LN100180,63,Male,Divorced,Graduate,Salaried,53700.0,727.0,2,13100.0,48,Home Improvement,South,2024-02-24,Rejected,
LN102581,41,Male,Single,Graduate,Salaried,61800.0,537.0,1,16500.0,60,Auto,Central,2024-08-02,Rejected,
LN101938,64,Male,Married,Not Graduate,Salaried,81300.0,639.0,2,24800.0,60,Education,East,2024-12-18,Approved,0
LN100701,48,Female,Married,Not Graduate,Self-Employed,34900.0,701.0,1,22000.0,36,Auto,West,2024-12-03,Rejected,
LN100375,25,Male,Married,Not Graduate,Salaried,35400.0,505.0,2,16500.0,24,Debt Consolidation,West,2023-11-06,Rejected,
LN100474,49,Male,Married,Graduate,Salaried,73000.0,661.0,1,16900.0,60,Auto,North,2023-05-15,Rejected,
LN102439,23,Female,Divorced,Graduate,Salaried,68300.0,634.0,2,10300.0,48,Personal,West,2023-07-10,Rejected,
LN100855,59,Female,Single,Graduate,Self-Employed,46900.0,522.0,0,14400.0,36,Business,North,2023-10-04,Rejected,
LN101930,25,Male,Married,Graduate,Self-Employed,70000.0,529.0,2,30400.0,60,Auto,North,2024-09-14,Rejected,
LN102703,58,Male,Married,Not Graduate,Self-Employed,69500.0,645.0,2,11800.0,48,Home Improvement,South,2023-02-26,Rejected,
LN103114,37,Female,Divorced,Not Graduate,Salaried,68000.0,636.0,3,32100.0,12,Debt Consolidation,East,2023-03-01,Rejected,
LN100124,59,Female,Married,Post Graduate,Salaried,70100.0,611.0,2,44100.0,36,Auto,North,2023-04-10,Approved,1
LN100734,30,Female,Divorced,Not Graduate,Business Owner,38200.0,711.0,1,11000.0,48,Home Improvement,West,2023-10-23,Rejected,
LN102970,48,Male,Single,Not Graduate,Business Owner,76200.0,796.0,3,41500.0,36,Medical,South,2024-10-11,Approved,0
LN100125,46,Male,Single,Graduate,Salaried,83700.0,795.0,3,34800.0,12,Debt Consolidation,Central,2023-09-03,Approved,0
LN100667,59,Female,Single,Not Graduate,Business Owner,59600.0,595.0,3,25000.0,36,Medical,North,2024-05-21,Rejected,
LN100444,43,Female,Married,Post Graduate,Self-Employed,51800.0,594.0,1,26400.0,36,Debt Consolidation,North,2024-12-21,Rejected,
LN102762,37,Female,Single,Graduate,Business Owner,43600.0,565.0,1,10400.0,48,Debt Consolidation,Central,2023-03-04,Rejected,
LN102194,50,Female,Married,Graduate,Salaried,36300.0,549.0,1,23000.0,60,Debt Consolidation,West,2024-08-12,Rejected,
LN100513,57,Female,Married,Post Graduate,Salaried,86800.0,661.0,3,27300.0,12,Medical,South,2024-08-18,Rejected,
LN100372,39,Female,Married,Graduate,Salaried,16100.0,798.0,1,7600.0,84,Education,Central,2024-11-24,Approved,0
LN102276,30,Male,Single,Not Graduate,Self-Employed,75900.0,599.0,0,14700.0,48,Education,West,2023-07-20,Approved,0
LN101766,43,Female,Married,Graduate,Self-Employed,23100.0,580.0,3,5200.0,48,Personal,North,2023-02-20,Rejected,
LN100854,33,Female,Single,Not Graduate,Salaried,24500.0,573.0,0,6300.0,60,Debt Consolidation,West,2024-12-01,Rejected,
LN100318,63,Female,Single,Graduate,Salaried,109500.0,779.0,4,21800.0,48,Business,East,2024-01-04,Approved,0
LN102221,27,Female,Widowed,Not Graduate,Business Owner,77500.0,628.0,2,21500.0,36,Business,North,2024-05-24,Rejected,
LN101162,59,Male,Married,Not Graduate,Salaried,108600.0,684.0,2,48000.0,36,Home Improvement,North,2024-03-08,Rejected,
LN101921,45,Male,Single,Not Graduate,Self-Employed,599300.0,762.0,4,190700.0,48,Home Improvement,North,2023-05-24,Approved,0
LN101801,42,Female,Single,Not Graduate,Business Owner,72200.0,821.0,1,11600.0,48,Business,West,2023-08-14,Approved,0
LN100361,61,Male,Divorced,Post Graduate,Self-Employed,50900.0,741.0,0,9000.0,36,Business,North,2024-01-09,Rejected,
LN102662,27,Male,Single,Post Graduate,Self-Employed,36000.0,825.0,3,17400.0,12,Home Improvement,North,2023-07-18,Approved,0
LN103020,36,Male,Married,Graduate,Self-Employed,54900.0,594.0,3,8300.0,36,Business,East,2023-02-28,Rejected,
LN101643,47,Male,Married,Graduate,Salaried,56400.0,715.0,2,11500.0,84,Business,East,2024-04-17,Rejected,
LN100707,46,Female,Married,Graduate,Business Owner,88700.0,658.0,0,39100.0,36,Debt Consolidation,East,2024-09-29,Approved,0
LN100943,42,Male,Divorced,Not Graduate,Salaried,54900.0,626.0,0,30200.0,36,Debt Consolidation,East,2024-06-14,Approved,1
LN102995,49,Male,Married,Post Graduate,Business Owner,63300.0,590.0,4,15800.0,24,Education,Central,2024-07-20,Approved,0
LN101863,37,Male,Divorced,Post Graduate,Salaried,88800.0,838.0,1,14800.0,36,Business,North,2023-06-01,Approved,0
LN101396,48,Female,Married,Not Graduate,Salaried,26700.0,619.0,1,8800.0,36,Debt Consolidation,Central,2024-01-12,Rejected,
LN102152,59,Female,Single,Graduate,Business Owner,98000.0,724.0,2,50600.0,60,Home Improvement,South,2023-01-25,Approved,0
LN101822,34,Female,Single,Not Graduate,Salaried,41300.0,626.0,3,14400.0,48,Medical,West,2024-04-22,Rejected,
LN100377,54,Female,Single,Post Graduate,Salaried,90900.0,831.0,0,31500.0,36,Education,North,2024-04-25,Approved,0
LN101469,23,Female,Single,Graduate,Business Owner,49300.0,662.0,2,25600.0,12,Home Improvement,West,2024-01-06,Rejected,
LN103094,61,Male,Married,Graduate,Self-Employed,83000.0,783.0,1,23600.0,48,Auto,Central,2024-02-01,Approved,0
LN102392,48,Male,Married,Not Graduate,Salaried,44900.0,671.0,4,15600.0,48,Auto,East,2024-06-16,Approved,0
LN102342,45,Male,Married,Graduate,Salaried,23400.0,702.0,4,6500.0,48,Debt Consolidation,Central,2024-09-09,Rejected,
LN100716,44,Male,Single,Graduate,Business Owner,73700.0,548.0,3,22600.0,60,Home Improvement,Central,2023-05-28,Rejected,
LN101225,64,Female,Divorced,Post Graduate,Salaried,86300.0,709.0,1,38500.0,60,Education,Central,2023-10-02,Approved,0
LN102945,25,Male,Married,Post Graduate,Business Owner,67600.0,731.0,3,33300.0,12,Auto,West,2023-06-14,Approved,0
LN101166,21,Female,Married,Not Graduate,Salaried,94100.0,741.0,4,32900.0,36,Home Improvement,East,2024-09-21,Approved,0
LN100757,38,Female,Single,Graduate,Salaried,74000.0,656.0,4,32600.0,48,Home Improvement,South,2023-07-21,Rejected,
LN100296,59,Female,Married,Not Graduate,Salaried,48100.0,730.0,1,14700.0,60,Medical,West,2024-08-14,Rejected,
LN103059,33,Male,Married,Graduate,Business Owner,51800.0,687.0,3,27600.0,36,Auto,North,2023-11-02,Rejected,
LN101769,29,Female,Divorced,Graduate,Salaried,63300.0,549.0,4,29600.0,24,Debt Consolidation,West,2023-12-20,Rejected,
LN101682,22,Male,Divorced,Post Graduate,Salaried,70800.0,655.0,3,38500.0,12,Personal,East,2024-02-23,Approved,0
LN101937,45,Female,Married,Graduate,Salaried,14300.0,474.0,0,5500.0,36,Debt Consolidation,North,2023-09-17,Rejected,
LN101487,21,Female,Widowed,Not Graduate,Salaried,38300.0,655.0,2,20500.0,36,Personal,West,2024-08-24,Rejected,
LN102193,30,Male,Married,Graduate,Salaried,55300.0,685.0,2,31100.0,60,Personal,East,2024-05-25,Rejected,
LN100194,64,Female,Married,Post Graduate,Business Owner,82400.0,622.0,4,22200.0,36,Business,Central,2023-07-06,Approved,1
LN101127,49,Male,Married,Not Graduate,Salaried,75900.0,588.0,3,13800.0,12,Business,Central,2024-11-26,Rejected,
LN103040,38,Male,Divorced,Post Graduate,Salaried,70600.0,610.0,1,29000.0,84,Home Improvement,Central,2024-07-21,Rejected,
LN103128,43,Female,Single,Graduate,Salaried,56000.0,517.0,0,30200.0,36,Auto,North,2024-08-07,Rejected,
LN100423,47,Male,Single,Post Graduate,Self-Employed,84700.0,600.0,1,39800.0,24,Business,North,2024-09-02,Rejected,
LN100717,43,Female,Single,Graduate,Self-Employed,63100.0,662.0,1,27600.0,24,Auto,North,2024-02-13,Rejected,
LN102574,55,Female,Married,Post Graduate,Business Owner,72100.0,690.0,3,12200.0,36,Home Improvement,Central,2023-07-08,Rejected,
LN102218,33,Female,Single,Graduate,Salaried,69600.0,723.0,3,22100.0,12,Business,South,2023-12-29,Approved,0
LN100603,27,Male,Single,Post Graduate,Business Owner,113600.0,583.0,1,47200.0,36,Education,East,2024-02-10,Rejected,
LN100929,47,Female,Single,Graduate,Business Owner,64200.0,665.0,1,25100.0,24,Business,East,2023-09-26,Rejected,
LN101208,33,Male,Married,Graduate,Salaried,50600.0,646.0,1,9600.0,48,Medical,Central,2023-03-07,Rejected,
LN100206,55,Male,Married,Graduate,Self-Employed,44900.0,655.0,0,27700.0,60,Personal,West,2023-05-24,Rejected,
LN100586,52,Female,Single,Graduate,Salaried,94400.0,646.0,0,20400.0,48,Auto,South,2023-07-28,Approved,1
LN100259,47,Male,Single,Not Graduate,Salaried,62700.0,798.0,0,20000.0,36,Home Improvement,East,2023-08-14,Approved,0
LN100643,42,Male,Married,Graduate,Self-Employed,91100.0,719.0,2,46700.0,12,Education,East,2023-09-16,Approved,0
LN103171,63,Male,Single,Not Graduate,Salaried,84500.0,621.0,2,46500.0,60,Auto,East,2024-06-14,Rejected,
LN102657,33,Female,Married,Not Graduate,Salaried,60900.0,634.0,0,10400.0,24,Business,North,2024-04-19,Rejected,
LN101564,46,Female,Divorced,Not Graduate,Self-Employed,63300.0,555.0,2,17900.0,36,Auto,West,2024-10-25,Rejected,
LN102876,50,Female,Single,Graduate,Salaried,75400.0,562.0,0,23100.0,84,Personal,South,2023-05-13,Approved,0
LN103047,55,Male,Single,Graduate,Salaried,67100.0,622.0,2,22200.0,60,Home Improvement,Central,2024-04-12,Approved,1
LN100804,54,Female,Married,Not Graduate,Salaried,77100.0,577.0,2,25400.0,12,Debt Consolidation,Central,2024-01-01,Rejected,
LN101390,34,Female,Divorced,Not Graduate,Salaried,53800.0,728.0,2,27000.0,24,Debt Consolidation,North,2023-10-26,Approved,0
LN100358,25,Male,Married,Post Graduate,Business Owner,99400.0,727.0,0,32800.0,12,Medical,South,2023-03-16,Approved,0
LN100802,44,Female,Divorced,Graduate,Salaried,68100.0,648.0,2,10800.0,84,Education,West,2023-05-25,Rejected,
LN100961,39,Female,Divorced,Graduate,Salaried,97400.0,667.0,4,54500.0,60,Debt Consolidation,South,2023-05-30,Approved,0
LN100280,33,Female,Single,Graduate,Salaried,76300.0,812.0,4,29000.0,24,Home Improvement,North,2024-04-20,Approved,0
LN102255,51,Male,Married,Graduate,Self-Employed,72000.0,647.0,1,40800.0,24,Debt Consolidation,North,2023-09-25,Rejected,
LN100314,31,Male,Single,Graduate,Salaried,75000.0,524.0,1,38700.0,24,Personal,South,2024-11-01,Rejected,
LN101513,35,Female,Single,Post Graduate,Self-Employed,53700.0,629.0,1,11200.0,60,Business,North,2024-06-01,Rejected,
LN102766,37,Female,Single,Graduate,Self-Employed,29400.0,813.0,2,18200.0,60,Education,North,2023-05-19,Approved,0
LN101933,63,Male,Married,Graduate,Self-Employed,39500.0,679.0,4,24400.0,36,Education,East,2024-10-16,Rejected,
LN100267,36,Male,Single,Graduate,Salaried,54800.0,832.0,2,25600.0,60,Personal,North,2023-02-03,Approved,0
LN100539,21,Male,Single,Graduate,Business Owner,65600.0,655.0,4,14000.0,36,Debt Consolidation,Central,2024-07-22,Approved,0
LN100283,43,Female,Single,Not Graduate,Self-Employed,61300.0,700.0,4,16500.0,24,Medical,North,2024-04-25,Approved,0
LN102324,54,Male,Single,Graduate,Salaried,70900.0,717.0,2,41400.0,12,Debt Consolidation,West,2023-09-09,Rejected,
LN102182,48,Female,Single,Graduate,Salaried,64700.0,550.0,3,25700.0,48,Business,North,2023-12-20,Rejected,
LN102818,26,Male,Married,Graduate,Salaried,82100.0,736.0,1,29500.0,60,Business,West,2023-10-16,Approved,0
LN100514,64,Male,Single,Graduate,Business Owner,75800.0,766.0,0,16700.0,36,Home Improvement,West,2023-05-02,Approved,1
LN101313,59,Female,Widowed,Not Graduate,Business Owner,40300.0,661.0,4,13500.0,48,Medical,South,2023-04-16,Rejected,
LN100824,49,Female,Single,Post Graduate,Self-Employed,62300.0,694.0,3,39000.0,24,Education,Central,2024-08-27,Approved,0
LN101181,62,Male,Married,Graduate,Self-Employed,66300.0,447.0,1,11000.0,24,Auto,West,2023-05-11,Rejected,
LN100662,22,Female,Single,Post Graduate,Business Owner,73400.0,662.0,3,26700.0,24,Home Improvement,West,2023-01-26,Rejected,
LN102166,35,Female,Married,Post Graduate,Salaried,71600.0,583.0,4,24300.0,24,Debt Consolidation,West,2024-02-11,Rejected,
LN100187,38,Female,Single,Graduate,Business Owner,52200.0,633.0,3,17800.0,60,Home Improvement,West,2024-08-11,Approved,0
LN101742,41,Male,Divorced,Not Graduate,Salaried,77700.0,749.0,3,47400.0,48,Business,West,2024-08-28,Approved,0
LN102436,49,Male,Single,Graduate,Salaried,41800.0,769.0,1,16400.0,48,Debt Consolidation,North,2023-07-23,Approved,0
LN102141,60,Male,Married,Post Graduate,Salaried,61400.0,633.0,3,12600.0,36,Home Improvement,South,2024-06-14,Rejected,
LN100836,57,Female,Single,Not Graduate,Self-Employed,63200.0,598.0,3,12300.0,60,Medical,Central,2024-12-26,Rejected,
LN102713,44,Female,Married,Graduate,Salaried,42500.0,641.0,3,6700.0,36,Debt Consolidation,West,2024-12-25,Rejected,
